fieldID,fieldName,fieldType,defaultValue,fieldDescription,minValue,maxValue
killHeader,Kill Values Header,Header,Threat Points per Kill,"How much the Remnant network's grudge (and the colony crisis bar) grows for each Remnant hull your fleet destroys.",,
remret_pointsFrigate,Frigate,Int,1,Threat points for each Remnant frigate destroyed.,0,100
remret_pointsDestroyer,Destroyer,Int,2,Threat points for each Remnant destroyer destroyed.,0,100
remret_pointsCruiser,Cruiser,Int,4,Threat points for each Remnant cruiser destroyed.,0,200
remret_pointsCapital,Capital,Int,8,Threat points for each Remnant capital destroyed.,0,400
remret_pointsNexus,Remnant Nexus,Int,150,"Threat points for destroying a Remnant Nexus (the station). Intended to be the single biggest contributor.",0,600
remret_pointsMult,Global Point Multiplier,Double,1.0,"Multiplies all kill point values. Raise for faster testing, lower for a slower burn.",0.1,10.0
threatHeader,Threat Header,Header,Standing Threat & Fleet Presence,"How the accumulated grudge translates into ongoing pressure between retaliation strikes.",,
remret_grudgePerMonthlyPoint,Grudge per Monthly Point,Double,75,"Higher = slower monthly bar creep. Monthly progress = 1 + grudge / this value, capped below.",1,1000
remret_maxMonthlyProgress,Max Monthly Progress,Int,24,Cap on how many crisis-bar points the standing grudge adds per month.,0,50
remret_minGrudgeForHunters,Min Grudge for Hunters,Double,50,"Hunter-killer fleets stay away until the grudge reaches this. Below it you only see the monthly bar creep.",0,1000
remret_grudgeForFullMagnitude,Grudge for Full Magnitude,Double,600,Grudge at which hunter-killer fleet presence in your systems reaches its cap.,50,3000
remret_maxMagnitude,Max Fleet Magnitude,Double,0.5,"Cap on hostile fleet presence magnitude per system (vanilla crises use ~0.5).",0.0,1.0
remret_maxFleets,Max Hunter Fleets per System,Int,2,Maximum simultaneous Remnant hunter-killer groups per player system.,0,6
networkHeader,Network Header,Header,Network Fragmentation & Neutralization,"How destroying Remnant Nexus stations weakens the network - and whether the threat can be ended permanently.",,
remret_canNeutralize,Permanent Neutralization Possible,Boolean,true,"If on: destroying every Remnant Nexus in the sector triggers one final convergence strike - defeat it and the crisis ends permanently. If off: the classic eternal grudge - dormant forces strike forever.",,
remret_fragmentationFloor,Fragmentation Pressure Floor,Double,0.25,"Minimum pressure multiplier as the network fragments. Monthly progress, hunter presence, and strike strength scale from full (all Nexuses alive) down to this (nearly all destroyed). Only applies when permanent neutralization is on.",0.0,1.0
remret_deathRattleMult,Final Convergence Strength,Double,1.5,"The final convergence strike's strength as a multiple of the normal strike cap. The network's last gasp should be its biggest.",0.5,4.0
minorHeader,Minor Event Header,Header,Reconnaissance-in-Force (Minor Event),"The network's warning shot: a recon force probing your defenses, fired from the crisis bar's minor event stage. Happens at most once per campaign (vanilla minor-event rule).",,
remret_minGrudgeForProbe,Min Grudge for Reconnaissance,Double,50,"The reconnaissance cannot be rolled until the grudge reaches this. Keep it well below the strike threshold so the probe arrives first.",0,1000
remret_probeDifficulty,Reconnaissance Strength,Double,25,"Combined fleet strength of the recon force (the full strike defaults to 50 base). Scaled down as the network fragments.",5,200
strikeHeader,Strike Header,Header,Retaliation Strike,"The crisis payload: a Remnant force that attempts to saturation-bombard one of your colonies.",,
remret_minGrudgeForInvasion,Min Grudge to Trigger Strike,Double,150,"The retaliation strike cannot be rolled until the grudge reaches this. (~1 Nexus by default.)",0,2000
remret_invasionBaseDifficulty,Strike Base Difficulty,Double,50,"Base combined fleet strength of the strike force (vanilla Remnant attack uses ~50).",10,400
remret_invasionDifficultyPerGrudge,Strike Difficulty per Grudge,Double,0.2,Additional strike strength per point of grudge.,0.0,2.0
remret_invasionMaxDifficulty,Strike Max Difficulty,Double,160,Hard cap on strike force strength before the per-defeat escalation multiplier.,20,600
remret_escalationPerDefeat,Escalation per Defeat,Double,0.25,"Each defeated strike makes the next this much stronger (0.25 means 25 percent stronger).",0.0,2.0
remret_grudgeRemainingAfterDefeat,Grudge Kept after Defeat,Double,0.5,"Fraction of grudge remaining after you defeat a strike (0.5 = halved).",0.0,1.0
intelHeader,Nexus Intel Header,Header,Nexus Tracing,"Back-tracing active hunter-killers to the command Nexuses that dispatch them - map markers you can hunt down, pirate-base style.",,
remret_nexusIntel,Trace Nexus Locations,Boolean,true,"While hunter-killers are active, your polity periodically traces a surviving Remnant Nexus and marks its system on the map as an intel entry. Entering a system with a live Nexus reveals it immediately.",,
remret_nexusTraceDays,Days per Trace,Double,60,"Days of active hunter-killer presence between each new Nexus location being revealed (nearest to your colonies first).",10,360
gateHeader,Gate Header,Header,Gate Control Fragments,"Destroyed Nexus stations yield fragments of their Domain-era gate control cores - each one repairs a single dormant Gate, without the Academy questline (but no free sector-wide unlock either).",,
remret_gateFragments,Nexus Gate Fragments,Boolean,true,"Destroying a Remnant Nexus adds a Gate Control Fragment to the battle salvage. Take it to any dormant Gate and choose 'Repair the Gate' - only that Gate comes online. The first repair also yields a working Janus Device (required to actually transit).",,
remret_pkDrop,Final Nexus Planetkiller,Boolean,true,"The last Remnant Nexus guards a Domain-era planetkiller: destroying it adds the weapon to the battle salvage (once per campaign; skipped if the vanilla questline already produced it).",,
remret_pkHandover,Path Handover Offer,Boolean,true,"While you hold the planetkiller, an intel entry offers surrendering it to the Luddic Path for the permanent vanilla pather agreement - holy peace, cells stand down for good.",,
debugHeader,Debug Header,Header,Debug & Testing,"Tools for testing the mod. Debug actions run once when a game is loaded.",,
remret_debugLogging,Verbose Logging,Boolean,false,"Logs grudge changes, kill tallies, and crisis rolls to starsector.log (prefix [RemRet]).",,
remret_debugGrantColony,Grant Test Colony on Load,Boolean,false,"If you own no colony when a game loads, transfers the nearest small NPC market to you so the crisis system activates. Turn off again after testing.",,
remret_debugStartingGrudge,Injected Starting Grudge,Int,0,"On load, if this is above 0 and your grudge is 0, sets your grudge to this value (once per game). Feeds monthly progress; does not set the bar directly.",0,2000
remret_debugForceStrike,Force Strike on Load,Boolean,false,"On load, if you already own a colony, pushes the crisis bar to 600 so the Remnant retaliation strike fires immediately. Turn off again afterward.",,
